IE_XML_ID;IE_NAME;IP_PROP228;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_PRICE_1;CV_CURRENCY_1
3049;Кольцо круглого сечения 9,0 х 1,5;6.362-384.0;5;13;13;2;34.00;RUB
90804260;Кольцо круглого сечения 62x3 NBR, твердо;9.080-426.0;2;70;2;70;153.00;RUB
90780070;Уплотнение вала 17x35x5;9.078-007.0;7;35;5;35;748.00;RUB
90017990;Перемычка PS;9.001-799.0;34;200;40;300;133.00;RUB
26432360;Вращающаяся щетка WB 100;2.643-236.0;702;161;303;109;2792.00;RUB
28845310;Набор запасных частей швабры;2.884-531.0;15;70;50;16;1466.00;RUB
90017670;Запасная часть электрической коробки;9.001-767.0;773;200;100;200;4261.00;RUB
90025430;Поручень chiuso K7 Modular;9.002-543.090;90;410;260;;2059.00;RUB
45508930;Головка цилиндра в сборе;4.550-893.0;272;115;45;115;0.00;RUB
63918690;Шланг высокого давления резина 16/7,5 60;6.391-869.0;0;;;;0.00;RUB
26432430;Роторное сопло;2.643-243.0;248;95;500;60;0.00;RUB
26402120;Насадка T-Racer 300;2.640-212.0;2784;260;350;380;0.00;RUB
28852830;КЗЧ для крепления шланга ВД;2.885-283.0;250;160;100;170;2527.00;RUB
90376340;Крышка модульная;9.037-634.0;700;310;170;520;2274.00;RUB
90126810;RM держатель;9.012-681.0;40;70;50;230;782.00;RUB
90380230;Держатель аксессуаров EU-USA;9.038-023.0;285;220;120;370;917.00;RUB
90017490;Выпускное отверстие высок.давления;9.001-749.0;118;125;110;170;1586.00;RUB
90019470;Мотор комплектный;9.001-947.0;0;;;;12066.00;RUB
90017050;Пластина 10°24;9.001-705.0;124;70;20;100;4240.00;RUB
90019350;Кожух для мотора;9.001-935.0;300;150;120;150;2802.00;RUB
90023940;Мотор заменитель;9.002-394.0;0;;;;17723.00;RUB
90862330;Винт;9.086-233.0;15;26;17;5;34.00;RUB
53670390;Поэзия;5.367-039.0;0;;;;60.00;RUB
69610140;Шланг DN4;6.961-014.0;0;;;;106.00;RUB
90017700;Запасные части распред электрокоробки;9.001-770.0;576;200;100;200;5852.00;RUB
90023970;Набор запасных частей распределительный;9.002-397.0;0;;;;0.00;RUB
90017680;Электрический блок;9.001-768.0;661;200;100;200;4767.00;RUB
90850130;Конденсатор 25 мФ, L=73;9.085-013.0;114;45;45;84;530.00;RUB
90804940;Уплотнительное кольцо 20x2 EPDM 70;9.080-494.0;5;23;23;1;60.00;RUB
53876200;Предупредительная надпись новый;5.387-620.0;0;;;;73.00;RUB
50309670;Захватная пара;5.030-967.0;0;;;;1499.00;RUB
64212050;Манометр 0-150 BAR;6.421-205.0;0;;;;4433.00;RUB
28837820;Набор уплотнительных колец;2.883-782.0;0;;;;87.00;RUB
54811400;Рычаг;5.481-140.0;0;;;;1037.00;RUB
53322470;Винтовая пружина;5.332-247.0;25;41;28;28;220.00;RUB
26419590;Разбрызгиватель упак. д/зам. 16MPa/60АC;2.641-959.0;387;165;500;42;1610.00;RUB
47755670;Пистолет M V4;4.775-567.0;568;190;40;460;0.00;RUB
40370160;Крючок;4.037-016.0;6;80;20;100;0.00;RUB
63917830;Шланг высокого давления 16/12 60АC;6.391-783.0;1120;300;70;400;0.00;RUB
44408660;Шланг высок.давления резин.16MPa/9m60АС;4.440-866.0;1480;200;100;200;0.00;RUB
63918700;Шланг вд 16/9 60°C;6.391-870.0;1400;270;60;270;0.00;RUB
63917850;Шланг высокого давления 16/12 60АC;6.391-785.0;1085;300;70;300;0.00;RUB
26427260;Струйная трубка Vario Power VP180;2.642-726.0;298;100;500;50;2434.00;RUB
63890920;Удлинительный шланг 10 м;6.389-092.0;1383;255;286;125;5706.00;RUB
66482600;Кабель с штепсель *RA;6.648-260.0;0;;;;6148.00;RUB
90024880;Мотор;9.002-488.0;6300;245;205;205;11050.00;RUB
90023930;Мотор заменитель;9.002-393.0;0;;;;13123.00;RUB
90023960;Набор запасных частей распределительный;9.002-396.0;0;;;;4542.00;RUB
90385480;Регулятор потока;9.038-548.0;5;12;6;6;114.00;RUB
46243300;Мотор для заменитель K7 M8 *CH;4.624-330.0;0;;;;19798.00;RUB
46243340;Мотор комплектный заменитель K7 D117 M8;4.624-334.0;0;;;;26953.00;RUB
57670250;Буффер;5.767-025.0;10;26;15;37;326.00;RUB
47605420;Регулируемая струйная трубка K5 032;4.760-542.0;292;45;45;440;0.00;RUB
47607360;Струйная трубка PS Eco!ogic;4.760-736.0;0;;;;0.00;RUB
26432460;Мягкая щетка WB 50;2.643-246.0;378;121;421;92;0.00;RUB
47607230;Струйная трубка K2 0287;4.760-723.0;149;40;40;450;1804.00;RUB
47642430;Роторная форсунка K2 027 St;4.764-243.0;131;42;36;463;0.00;RUB
28854870;Набор запасных частей тяговая разгрузка;2.885-487.0;0;;;;0.00;RUB
28854750;Набор запасных частей тяговая разгрузка;2.885-475.0;0;;;;0.00;RUB
45205060;Шасси в сборе для замены K3 *EU;4.520-506.0;700;275;185;330;949.00;RUB
40639180;Крышка с присосами для замены с SV5 (r);4.063-918.0;0;;;;788.00;RUB
46453650;Муфта с этикеткой комплектный;4.645-365.0;0;;;;201.00;RUB
